sport,location,fantasyOrReal,appropriate,keywords,playerName
golf,Los Angeles,fantasy,yes,shadow,Tom Brady
basketball,Texas,real,yes,fire,Shohei Ohtani
volleyball,Seattle,fantasy,no,ice,Lionel Messi
soccer,Seattle,fantasy,yes,steel,LeBron James
lacrosse,Denver,real,yes,clutch,LeBron James
football,Los Angeles,fantasy,no,steel,Serena Williams
basketball,Denver,real,no,thunder,none
baseball,Chicago,real,yes,blitz,Sidney Crosby
wrestling,Denver,real,yes,clutch,Connor McDavid
golf,Atlanta,fantasy,yes,steel,LeBron James
football,none,fantasy,yes,clutch,Shohei Ohtani
football,Texas,real,yes,storm,Shohei Ohtani
football,Texas,fantasy,yes,shadow,none
rugby,Chicago,real,yes,no,none
hockey,Denver,real,no,blitz,Connor McDavid
golf,New York,fantasy,no,blitz,Tiger Woods
baseball,Chicago,real,yes,clutch,LeBron James
lacrosse,Denver,fantasy,no,dunk,Michael Jordan
volleyball,none,real,yes,thunder,Sidney Crosby
lacrosse,Denver,fantasy,no,clutch,none
rugby,Boston,fantasy,yes,dunk,Sidney Crosby
basketball,Boston,fantasy,yes,dunk,Lionel Messi
wrestling,Detroit,fantasy,yes,shadow,Shohei Ohtani
volleyball,Los Angeles,fantasy,no,no,Sidney Crosby
lacrosse,Atlanta,real,no,blitz,Lionel Messi
golf,Denver,fantasy,no,thunder,Lionel Messi
rugby,Boston,fantasy,yes,fire,none
volleyball,New York,real,yes,dragon,Connor McDavid
wrestling,none,fantasy,yes,thunder,none
golf,Detroit,real,yes,dunk,LeBron James
golf,Texas,fantasy,yes,no,LeBron James
football,none,real,yes,shadow,Lionel Messi
wrestling,Boston,fantasy,no,fire,Connor McDavid
basketball,Atlanta,real,yes,steel,Tiger Woods
golf,Seattle,real,no,steel,Serena Williams
baseball,Miami,real,no,clutch,Connor McDavid
volleyball,New York,real,no,fire,Connor McDavid
golf,Texas,real,no,ice,Connor McDavid
soccer,Los Angeles,fantasy,no,dunk,Sidney Crosby
football,New York,real,yes,steel,LeBron James
hockey,Miami,fantasy,no,thunder,Michael Jordan
soccer,New York,fantasy,yes,clutch,Lionel Messi
rugby,Seattle,fantasy,yes,storm,Tiger Woods
hockey,none,real,yes,clutch,Connor McDavid
soccer,Atlanta,fantasy,no,blitz,Lionel Messi
soccer,Atlanta,real,no,fire,Serena Williams
baseball,Boston,fantasy,yes,storm,Connor McDavid
volleyball,Chicago,fantasy,no,fire,Serena Williams
basketball,Seattle,fantasy,no,thunder,Michael Jordan
basketball,Atlanta,fantasy,no,thunder,LeBron James
volleyball,Detroit,fantasy,yes,ice,Shohei Ohtani
lacrosse,Seattle,real,no,dunk,Lionel Messi
football,Chicago,fantasy,yes,ice,Lionel Messi
rugby,Texas,fantasy,no,no,Tom Brady
rugby,Boston,fantasy,no,thunder,Shohei Ohtani
baseball,New York,real,no,dragon,Sidney Crosby
hockey,Denver,real,yes,fire,Michael Jordan
hockey,New York,fantasy,yes,dragon,Lionel Messi
soccer,Atlanta,real,no,clutch,Serena Williams
football,Chicago,fantasy,yes,blitz,none
soccer,Boston,fantasy,no,shadow,LeBron James
volleyball,Denver,real,no,storm,Michael Jordan
basketball,Texas,real,yes,no,Tiger Woods
golf,Denver,real,yes,fire,none
hockey,Detroit,real,no,thunder,none
volleyball,Seattle,real,yes,shadow,none
baseball,Detroit,real,no,ice,none
hockey,Atlanta,fantasy,yes,ice,Lionel Messi
rugby,Seattle,fantasy,yes,blitz,Tiger Woods
rugby,Atlanta,fantasy,no,dragon,Connor McDavid
baseball,none,real,no,dragon,Michael Jordan
rugby,New York,real,yes,fire,Serena Williams
volleyball,Detroit,real,yes,dragon,Lionel Messi
volleyball,Miami,fantasy,yes,steel,Lionel Messi
football,New York,fantasy,yes,ice,Serena Williams
baseball,Detroit,fantasy,yes,clutch,Connor McDavid
wrestling,New York,fantasy,yes,ice,Shohei Ohtani
basketball,Texas,real,no,dunk,Sidney Crosby
hockey,Boston,real,no,dunk,none
lacrosse,Texas,real,no,clutch,Michael Jordan
lacrosse,New York,real,no,dragon,Lionel Messi
hockey,none,real,yes,shadow,none
baseball,Denver,fantasy,no,shadow,Sidney Crosby
hockey,Denver,real,no,fire,Michael Jordan
football,Detroit,real,no,no,Tom Brady
hockey,Texas,real,no,steel,Tiger Woods
golf,Atlanta,real,no,shadow,Shohei Ohtani
golf,Seattle,fantasy,yes,dragon,Shohei Ohtani
basketball,Seattle,real,no,no,Sidney Crosby
hockey,Atlanta,fantasy,no,fire,none
football,Chicago,real,yes,storm,LeBron James
soccer,Chicago,fantasy,yes,blitz,LeBron James
soccer,Atlanta,real,yes,shadow,LeBron James
wrestling,none,fantasy,yes,clutch,Michael Jordan
baseball,Denver,real,yes,no,Tom Brady
baseball,Chicago,real,no,dunk,none
football,Seattle,fantasy,no,no,Tiger Woods
golf,Miami,real,yes,clutch,Serena Williams
volleyball,Chicago,real,no,steel,Tiger Woods
golf,none,real,no,fire,Tom Brady
